date,channel,campaign,spend,clicks,sessions,orders,new_customers,attributed_revenue
2025-01-24,Meta,Festive Fashion,7346.38,72,1382,14,7,11761.43
2025-01-24,Google,Generic Search,3079.66,126,3198,28,16,29081.63
2025-01-24,Organic,Direct,0.0,53,3208,33,20,41835.9
2025-01-24,Organic,SEO Content,0.0,31,1470,11,5,14507.09
2025-01-24,Influencer,Festive Creators,10029.18,89,3814,31,20,27700.49
2025-01-24,Affiliate,Coupon Partners,4441.62,66,1219,14,7,12390.68
2025-01-25,Meta,Retargeting,6532.26,88,3700,65,33,73790.03
2025-01-25,Google,Diwali Search,5122.19,15,430,3,2,3375.37
2025-01-25,Organic,Direct,0.0,237,4525,40,26,52272.5
2025-01-25,Influencer,Creator A,5165.44,196,3626,65,46,53139.86
2025-01-25,Affiliate,Cashback Partners,8900.62,88,3599,63,36,57981.67
2025-01-25,Affiliate,Coupon Partners,5506.09,53,3125,47,20,55240.05
2025-01-26,Meta,New Collection,11815.55,49,2333,22,11,23544.94
2025-01-26,Google,Generic Search,3234.34,58,3291,38,18,40690.86
2025-01-26,Organic,Email CRM,0.0,117,5145,45,31,69425.0
2025-01-26,Influencer,Creator A,7862.49,136,3600,28,13,25772.26
2025-01-26,Affiliate,Cashback Partners,5177.57,138,2678,30,21,36666.44
2025-01-27,Meta,Flash Sale,18627.63,83,2281,31,19,34906.51
2025-01-27,Meta,Always On,4619.08,99,2472,27,15,23269.34
2025-01-27,Google,Generic Search,2719.63,63,2731,38,26,46296.33
2025-01-27,Google,Performance Max,8518.57,26,552,6,3,6372.57
2025-01-27,Organic,Instagram Organic,0.0,152,3835,41,27,48121.04
2025-01-27,Influencer,Micro Influencer Push,3509.24,70,1406,23,11,22555.1
2025-01-27,Influencer,Creator B,10206.64,46,869,15,10,16874.74
2025-01-27,Affiliate,Deal Week,5097.7,64,2202,23,13,22344.09
2025-01-27,Affiliate,,3139.32,58,3140,42,19,44541.09
2025-01-28,Meta,Diwali Sale,3562.76,74,3083,30,20,33552.89
2025-01-28,Google,Shopping Ads,9100.44,76,2331,16,7,14271.17
2025-01-28,Organic,Instagram Organic,0.0,95,1799,28,13,37645.28
2025-01-28,Organic,WhatsApp Community,0.0,51,1694,14,9,16362.61
2025-01-28,Influencer,Creator B,10120.6,33,724,9,5,8913.89
2025-01-28,Affiliate,Fashion Blogs,12992.17,129,3536,44,30,48979.05
2025-01-28,Affiliate,Deal Week,5216.52,61,2755,23,14,24695.32
2025-01-29,Meta,Always On,5249.6,84,3002,22,13,21990.18
2025-01-29,Google,Brand Search,7995.38,112,2718,29,15,31659.79
2025-01-29,Google,Shopping Ads,6038.41,112,2669,49,23,58946.49
2025-01-29,Organic,SEO Content,0.0,99,3059,43,31,69458.92
2025-01-29,Influencer,Festive Creators,3823.54,65,2692,30,14,35053.37
2025-01-29,Affiliate,Coupon Partners,7770.65,161,3659,24,14,22071.88
2025-01-30,Meta,Always On,9527.97,36,1646,23,12,22780.25
2025-01-30,Meta,Retargeting,6727.16,151,2871,21,10,22040.4
2025-01-30,Google,Diwali Search,10403.87,12,526,7,4,5778.35
2025-01-30,Organic,SEO Content,0.0,67,3482,55,37,84980.76
2025-01-30,Influencer,Celebrity Drop,4210.92,76,2190,25,17,23706.6
2025-01-30,Affiliate,Deal Week,11397.57,158,4429,44,30,40933.04
2025-01-31,Meta,Diwali Sale,12561.99,45,1279,9,5,8280.46
2025-01-31,Google,Remarketing,6730.11,50,1533,10,6,9306.41
2025-01-31,Organic,Instagram Organic,0.0,204,3716,43,18,70566.47
2025-01-31,Influencer,Festive Creators,6862.19,154,4469,78,50,83613.53
2025-01-31,Influencer,Micro Influencer Push,4201.57,133,3898,36,19,38254.37
2025-01-31,Affiliate,Deal Week,8786.03,17,542,8,5,7347.81
2025-02-01,Meta,Flash Sale,4852.75,24,1359,20,10,17936.13
2025-02-01,Google,Brand Search,3245.55,146,3768,26,17,30403.58
2025-02-01,Organic,Instagram Organic,0.0,52,2142,17,12,27286.36
2025-02-01,Influencer,Creator B,5462.84,158,3908,41,28,42292.26
2025-02-01,Influencer,Celebrity Drop,7473.96,26,1553,23,10,23803.18
2025-02-01,Affiliate,Cashback Partners,8290.53,226,4162,49,35,51865.32
2025-02-02,Meta,Always On,4675.58,54,1603,25,13,29885.92
2025-02-02,Meta,Retargeting,7324.13,111,2180,38,19,41053.73
2025-02-02,Google,Generic Search,4781.14,106,3113,50,25,61706.01
2025-02-02,Organic,WhatsApp Community,0.0,60,3453,66,33,86321.82
2025-02-02,Organic,Email CRM,0.0,115,2404,38,23,56840.08
2025-02-02,Influencer,Creator A,6279.89,101,2470,42,21,38307.72
2025-02-02,Affiliate,Fashion Blogs,2618.53,167,3613,61,33,58415.65
2025-02-03,Meta,Diwali Sale,5553.14,144,4484,70,43,68472.86
2025-02-03,Meta,Retargeting,7894.17,127,3123,52,35,54557.4
2025-02-03,Google,Brand Search,8131.68,102,2077,38,24,34514.51
2025-02-03,Organic,Instagram Organic,0.0,177,4399,54,32,70376.96
2025-02-03,Organic,Email CRM,0.0,143,4962,71,33,113181.5
2025-02-03,Influencer,Festive Creators,2950.93,155,3737,48,32,52872.63
2025-02-03,Influencer,Micro Influencer Push,15110.87,72,1716,30,13,33257.78
2025-02-03,Affiliate,Coupon Partners,6118.66,58,1084,13,6,16057.75
2025-02-03,Affiliate,Fashion Blogs,14320.32,53,1770,30,13,26851.32
2025-02-04,Meta,Lookalike,3636.17,16,493,8,5,7830.2
2025-02-04,Meta,Diwali Sale,8346.27,40,835,16,8,19682.92
2025-02-04,Google,Brand Search,7985.93,27,769,7,5,7765.95
2025-02-04,Organic,Email CRM,0.0,188,4228,65,34,88099.47
2025-02-04,Influencer,Creator A,4024.38,112,3361,53,30,55295.52
2025-02-04,Affiliate,Deal Week,3056.09,77,3256,59,33,49515.65
2025-02-05,Meta,Flash Sale,11721.02,103,2293,41,18,49152.15
2025-02-05,Google,Shopping Ads,4598.3,68,3339,45,25,48647.74
2025-02-05,Organic,Email CRM,0.0,21,906,13,8,17393.27
2025-02-05,Influencer,Creator A,6167.87,164,4092,34,20,35470.42
2025-02-05,Affiliate,Deal Week,5834.49,110,2454,46,21,45004.53
2025-02-06,Meta,Festive Fashion,10045.54,216,4246,40,25,36720.63
2025-02-06,Google,Diwali Search,12725.14,27,1024,16,8,18210.18
2025-02-06,Google,Shopping Ads,12720.19,47,2439,40,17,41203.49
2025-02-06,Organic,SEO Content,0.0,317,5959,70,33,112492.41
2025-02-06,Influencer,Celebrity Drop,4043.17,52,2432,22,12,21593.36
2025-02-06,Affiliate,Coupon Partners,6379.59,51,2229,19,10,23072.12
2025-02-07,Meta,Always On,5960.28,29,1081,19,12,18438.3
2025-02-07,Google,Brand Search,4363.72,71,1962,25,13,24693.32
2025-02-07,Organic,WhatsApp Community,0.0,51,1021,8,5,12546.96
2025-02-07,Influencer,Celebrity Drop,4595.47,74,1636,25,13,28962.9
2025-02-07,Influencer,Creator A,4525.07,139,3203,30,18,32998.41
2025-02-07,Affiliate,Coupon Partners,6510.45,66,2984,52,35,61348.93
2025-02-08,Meta,New Collection,4197.66,85,2889,29,16,24828.58
2025-02-08,Google,Brand Search,6623.25,64,1883,16,7,19400.94
2025-02-08,Organic,WhatsApp Community,0.0,125,5997,43,25,70227.89
2025-02-08,Influencer,Micro Influencer Push,3586.13,20,759,10,7,10343.0
2025-02-08,Affiliate,Fashion Blogs,11614.67,49,1804,22,16,23775.96
2025-02-09,Meta,Always On,4757.05,18,883,14,7,12594.61
2025-02-09,Meta,Catalog Ads,2653.23,66,1789,22,14,22065.9
2025-02-09,Google,Performance Max,8253.57,188,4343,46,24,41177.84
2025-02-09,Organic,Email CRM,0.0,19,1062,10,5,11832.44
2025-02-09,Influencer,Celebrity Drop,7546.39,141,4125,40,25,49492.65
2025-02-09,Influencer,Festive Creators,8981.26,112,2429,44,25,40479.4
2025-02-09,Affiliate,,7018.95,147,3268,27,16,28804.06
2025-02-10,Meta,Retargeting,7650.83,108,2275,43,29,40336.51
2025-02-10,Meta,,4031.0,49,1490,16,8,15503.97
2025-02-10,Google,Diwali Search,11554.61,169,3533,26,16,25504.19
2025-02-10,Organic,Email CRM,0.0,87,3533,33,17,41965.09
2025-02-10,Influencer,Creator B,8551.17,44,1480,10,5,10862.91
2025-02-10,Affiliate,Fashion Blogs,5652.1,79,3592,59,31,72483.71
2025-02-11,Meta,New Collection,2057.94,50,1470,19,13,18895.58
2025-02-11,Google,Diwali Search,8691.41,102,3339,35,20,43189.48
2025-02-11,Google,Generic Search,12728.2,90,3634,53,24,58281.72
2025-02-11,Organic,WhatsApp Community,0.0,65,1440,21,13,27309.01
2025-02-11,Influencer,Creator B,8638.33,94,3421,63,45,57348.59
2025-02-11,Influencer,Festive Creators,10782.91,39,1516,28,20,23343.97
2025-02-11,Affiliate,,5836.34,15,724,11,7,12986.75
2025-02-12,Meta,Catalog Ads,6063.39,26,795,13,7,13759.3
2025-02-12,Google,Generic Search,10050.34,61,2232,37,22,36565.32
2025-02-12,Organic,Direct,0.0,41,1385,17,12,23156.99
2025-02-12,Organic,SEO Content,0.0,107,4385,67,45,92899.86
2025-02-12,Influencer,Micro Influencer Push,6392.07,103,2268,16,11,18409.23
2025-02-12,Affiliate,Cashback Partners,3738.66,172,3286,52,29,49412.63
2025-02-12,Affiliate,Deal Week,8994.82,43,1229,23,11,27851.32
2025-02-13,Meta,Catalog Ads,7717.78,137,3358,24,14,22172.74
2025-02-13,Google,Diwali Search,12216.41,82,1654,28,13,24262.75
2025-02-13,Google,Performance Max,6812.88,204,3715,68,30,75682.42
2025-02-13,Organic,Direct,0.0,182,4612,41,24,53125.18
2025-02-13,Influencer,Creator A,5321.23,134,2642,34,21,41597.28
2025-02-13,Affiliate,Deal Week,7141.54,58,1124,21,14,22979.72
2025-02-14,Meta,Catalog Ads,5534.93,107,2299,43,28,39024.66
2025-02-14,Google,Performance Max,2173.14,131,3912,30,21,26935.78
2025-02-14,Google,Generic Search,3100.92,9,480,5,3,6061.22
2025-02-14,Organic,SEO Content,0.0,23,1503,23,14,35540.18
2025-02-14,Influencer,Creator A,7197.93,82,2420,22,9,26377.83
2025-02-14,Affiliate,Coupon Partners,7047.9,116,3349,34,21,29053.38
2025-02-14,Affiliate,Cashback Partners,4800.64,98,3119,20,9,24258.2
2025-02-15,Meta,Festive Fashion,4359.12,82,2171,18,8,18624.52
2025-02-15,Meta,Flash Sale,4426.52,62,1665,22,11,24198.45
2025-02-15,Google,Shopping Ads,3258.19,144,2971,43,29,41709.52
2025-02-15,Google,Generic Search,14514.69,19,974,14,9,11648.72
2025-02-15,Organic,WhatsApp Community,0.0,141,5880,95,67,119854.1
2025-02-15,Influencer,Micro Influencer Push,5111.82,37,788,9,7,11190.04
2025-02-15,Affiliate,Cashback Partners,6014.75,150,3064,30,21,28989.81
2025-02-16,Meta,Flash Sale,3306.1,163,2977,19,9,23199.63
2025-02-16,Google,Generic Search,4994.22,37,746,7,5,6158.55
2025-02-16,Google,Shopping Ads,4286.64,177,3505,36,24,31466.09
2025-02-16,Organic,WhatsApp Community,0.0,70,2534,21,15,31463.43
2025-02-16,Influencer,Micro Influencer Push,7788.76,113,3626,23,11,22495.75
2025-02-16,Influencer,Festive Creators,7183.73,15,570,5,2,4145.23
2025-02-16,Affiliate,Fashion Blogs,3788.83,45,1135,17,12,16652.61
2025-02-17,Meta,New Collection,12239.0,127,2425,35,17,30341.3
2025-02-17,Meta,,10592.96,34,1171,22,12,24799.18
2025-02-17,Google,Performance Max,12013.24,65,1752,29,16,34001.0
2025-02-17,Google,Diwali Search,7729.53,83,3108,42,19,46555.17
2025-02-17,Organic,WhatsApp Community,0.0,55,2523,20,9,31517.68
2025-02-17,Influencer,Festive Creators,3393.81,72,3178,43,31,49157.78
2025-02-17,Affiliate,Coupon Partners,8171.99,14,823,6,4,5494.47
2025-02-18,Meta,Diwali Sale,11344.99,59,1118,13,9,14819.59
2025-02-18,Google,,5966.5,87,2809,31,16,32720.9
2025-02-18,Organic,Direct,0.0,117,2414,28,14,40651.78
2025-02-18,Organic,WhatsApp Community,0.0,137,3252,32,18,42466.54
2025-02-18,Influencer,Creator B,8601.55,37,1629,25,14,29246.87
2025-02-18,Affiliate,Cashback Partners,3076.26,92,4192,71,30,86561.78
2025-02-18,Affiliate,Coupon Partners,1202.95,212,4457,72,47,79115.67
2025-02-19,Meta,Retargeting,4800.82,71,2782,40,29,49204.91
2025-02-19,Google,Brand Search,11028.6,115,2232,29,17,35285.57
2025-02-19,Google,Performance Max,8086.71,38,1822,12,6,10699.34
2025-02-19,Organic,WhatsApp Community,0.0,76,1806,28,15,34830.48
2025-02-19,Influencer,Creator A,8659.1,134,2822,37,17,35506.15
2025-02-19,Affiliate,Coupon Partners,3920.08,39,1608,16,8,16326.29
2025-02-19,Affiliate,Cashback Partners,7078.97,13,493,5,3,4375.31
2025-02-20,Meta,New Collection,2224.49,55,1021,19,10,23457.86
2025-02-20,Meta,Catalog Ads,2007.36,111,4330,61,36,68643.61
2025-02-20,Google,Performance Max,7119.18,68,2114,26,18,24008.37
2025-02-20,Organic,Instagram Organic,0.0,99,3066,43,21,52338.44
2025-02-20,Organic,WhatsApp Community,0.0,49,1970,23,10,35008.01
2025-02-20,Influencer,Micro Influencer Push,3301.85,166,3609,44,19,49927.34
2025-02-20,Influencer,Creator B,5900.99,31,666,7,3,8491.31
2025-02-20,Affiliate,Coupon Partners,5357.87,22,739,9,5,8526.37
2025-02-20,Affiliate,Cashback Partners,5273.82,74,1530,23,15,23317.17
2025-02-21,Meta,Diwali Sale,4063.41,56,2395,16,11,17069.77
2025-02-21,Google,Diwali Search,7848.59,48,3151,52,32,50907.38
2025-02-21,Google,Remarketing,8492.08,91,2411,24,13,24665.26
2025-02-21,Organic,SEO Content,0.0,64,1162,18,8,24922.19
2025-02-21,Influencer,Creator A,6206.65,70,4245,61,33,53665.94
2025-02-21,Affiliate,Cashback Partners,5165.85,25,1060,16,8,15718.38
2025-02-22,Meta,Always On,4160.14,98,2744,38,26,45915.94
2025-02-22,Meta,,6865.26,124,2623,49,28,47022.81
2025-02-22,Google,Shopping Ads,9626.24,43,2341,30,15,27476.22
2025-02-22,Organic,SEO Content,0.0,86,2780,43,22,50445.87
2025-02-22,Organic,Direct,0.0,194,4328,66,30,108366.7
2025-02-22,Influencer,Creator B,7876.83,129,4310,39,27,39308.45
2025-02-22,Affiliate,Cashback Partners,3212.84,40,1759,17,8,13767.15
2025-02-23,Meta,Lookalike,3028.36,60,2634,31,13,34366.7
2025-02-23,Google,Remarketing,7248.7,80,2534,25,12,24713.4
2025-02-23,Organic,Instagram Organic,0.0,164,4791,52,34,77253.88
2025-02-23,Influencer,Creator A,6868.03,109,2199,25,14,23203.78
2025-02-23,Influencer,Micro Influencer Push,4469.72,64,1566,22,13,17756.38
2025-02-23,Affiliate,Deal Week,7029.02,21,488,5,3,4787.56
2025-02-23,Affiliate,Fashion Blogs,2103.77,103,1891,31,14,34593.54
2025-02-24,Meta,Diwali Sale,4588.89,119,3787,45,30,44049.9
2025-02-24,Meta,Retargeting,5651.97,14,440,7,3,6316.88
2025-02-24,Google,Brand Search,5465.52,212,4074,29,13,29291.62
2025-02-24,Organic,Email CRM,0.0,67,2702,33,19,51879.01
2025-02-24,Organic,Direct,0.0,113,2551,16,7,21905.51
2025-02-24,Influencer,Micro Influencer Push,6080.46,74,1638,24,11,26644.49
2025-02-24,Affiliate,Fashion Blogs,5813.15,51,2671,28,19,30784.76
2025-02-24,Affiliate,Cashback Partners,16083.08,57,1694,31,18,30040.52
2025-02-25,Meta,Flash Sale,11571.6,19,845,9,4,11094.04
2025-02-25,Google,Shopping Ads,15274.68,70,3130,42,22,50375.56
2025-02-25,Organic,Instagram Organic,0.0,165,4916,46,30,74875.09
2025-02-25,Influencer,Micro Influencer Push,1910.05,24,887,13,6,10656.34
2025-02-25,Affiliate,Fashion Blogs,11224.2,73,1553,19,9,17890.39
2025-02-26,Meta,Catalog Ads,14886.75,72,1399,15,9,13440.87
2025-02-26,Google,Shopping Ads,9385.42,146,3103,27,17,28259.7
2025-02-26,Google,Performance Max,9462.57,87,3394,26,18,31459.67
2025-02-26,Organic,Instagram Organic,0.0,114,4374,33,18,41242.16
2025-02-26,Organic,SEO Content,0.0,130,5143,98,43,121771.67
2025-02-26,Influencer,Festive Creators,8433.39,72,3551,41,24,40774.0
2025-02-26,Influencer,Creator B,4411.89,90,1714,11,7,9043.27
2025-02-26,Affiliate,Cashback Partners,9141.43,26,841,16,7,16724.77
2025-02-27,Meta,Catalog Ads,12760.15,70,2920,19,11,15844.28
2025-02-27,Meta,Flash Sale,6104.45,203,4155,48,23,58498.55
2025-02-27,Google,Remarketing,6588.03,136,4398,68,46,80730.15
2025-02-27,Google,Generic Search,8314.13,22,1343,24,16,21605.27
2025-02-27,Organic,WhatsApp Community,0.0,119,5521,85,47,135589.23
2025-02-27,Influencer,Creator B,10974.39,22,553,7,5,7390.51
2025-02-27,Affiliate,Deal Week,4861.28,45,979,19,13,22009.16
2025-02-28,Meta,Catalog Ads,11801.2,63,2674,18,8,18273.16
2025-02-28,Google,Remarketing,7686.68,137,2641,50,27,44518.22
2025-02-28,Organic,Direct,0.0,250,5088,87,52,138839.69
2025-02-28,Organic,Email CRM,0.0,278,5676,103,46,144149.5
2025-02-28,Influencer,Celebrity Drop,7113.16,92,3802,36,19,38270.56
2025-02-28,Influencer,Creator B,5452.87,39,2286,18,9,16192.22
2025-02-28,Affiliate,Fashion Blogs,10817.25,185,3713,55,39,60895.48
2025-03-01,Meta,Catalog Ads,2537.68,118,4349,56,30,65526.12
2025-03-01,Google,Performance Max,3598.22,68,1700,22,15,18792.47
2025-03-01,Organic,WhatsApp Community,0.0,137,3024,55,29,66709.12
2025-03-01,Organic,Direct,0.0,59,2912,41,19,53406.94
2025-03-01,Influencer,Celebrity Drop,10218.13,139,3002,30,21,26340.71
2025-03-01,Affiliate,Cashback Partners,7674.51,84,1592,18,8,18992.32
2025-03-01,Affiliate,Coupon Partners,2177.19,130,2949,23,10,25332.94
2025-03-02,Meta,Festive Fashion,3838.27,82,2511,22,12,21164.86
2025-03-02,Google,Brand Search,5553.45,206,4112,33,21,38670.76
2025-03-02,Google,Performance Max,7969.03,52,1449,24,13,24733.61
2025-03-02,Organic,Direct,0.0,114,2539,39,17,59555.97
2025-03-02,Influencer,Festive Creators,1929.44,203,4237,55,28,47739.22
2025-03-02,Influencer,Micro Influencer Push,8261.96,51,1140,13,6,10611.02
2025-03-02,Affiliate,Coupon Partners,6243.66,28,1074,16,7,13253.79
2025-03-03,Meta,Always On,4848.66,51,2585,43,25,51749.19
2025-03-03,Google,Performance Max,7579.67,14,584,10,5,11941.14
2025-03-03,Organic,Direct,0.0,74,2099,28,14,44043.89
2025-03-03,Influencer,Celebrity Drop,5391.37,77,2183,37,23,33071.02
2025-03-03,Affiliate,Coupon Partners,3074.09,168,4374,56,36,58076.15
2025-03-04,Meta,Festive Fashion,5620.63,138,4468,55,27,63583.99
2025-03-04,Google,Performance Max,3642.38,47,1021,18,9,19848.18
2025-03-04,Organic,Email CRM,0.0,243,4718,52,26,68839.02
2025-03-04,Organic,Instagram Organic,0.0,113,4543,51,36,60211.46
2025-03-04,Influencer,Festive Creators,9383.27,154,3469,35,17,30684.34
2025-03-04,Affiliate,Coupon Partners,7789.95,163,3867,50,24,44079.07
2025-03-04,Affiliate,Fashion Blogs,4789.38,146,4052,53,30,63716.04
2025-03-05,Meta,Festive Fashion,6023.88,30,1316,19,9,19363.23
2025-03-05,Google,Diwali Search,11847.9,190,4063,47,22,45589.81
2025-03-05,Google,Remarketing,10285.85,47,875,8,4,8395.77
2025-03-05,Organic,Email CRM,0.0,219,4987,86,53,127526.25
2025-03-05,Influencer,Creator B,5352.44,120,2325,25,15,21466.16
2025-03-05,Affiliate,Fashion Blogs,5937.01,92,1695,31,19,35304.41
2025-03-06,Meta,New Collection,2272.57,14,490,5,3,4765.2
2025-03-06,Google,Remarketing,16704.57,144,3565,48,25,41160.55
2025-03-06,Organic,Email CRM,0.0,60,1753,23,16,34954.22
2025-03-06,Influencer,Micro Influencer Push,3783.29,169,3112,52,34,54460.41
2025-03-06,Affiliate,Fashion Blogs,2991.48,39,2081,16,11,14345.65
2025-03-06,Affiliate,Coupon Partners,19472.14,61,1931,35,22,34448.1
2025-03-07,Meta,Diwali Sale,6078.97,202,4033,52,28,56447.69
2025-03-07,Google,Shopping Ads,3350.36,21,787,11,6,11654.42
2025-03-07,Organic,WhatsApp Community,0.0,158,3405,43,24,58566.32
